
name,address,nature,nightlife,drink,music,dance,history,sports,art,museum,walk,restaurant,movie,Latitude,Longitude
Arrandene Open Space,"London, United Kingdom",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,51.6133,-0.2297
Arsenal Museum,"75 Drayton Park, London, United Kingdom",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,51.556,-0.108
Art First,"21 Eastcastle Street, London, United Kingdom",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,51.5165,-0.137
Art Rebellion,"171 Brighton Road, Town Centre, Coulsdon, United Kingdom",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,51.321,-0.139
Art of Spa,"46A Tachbrook Street, London, United Kingdom",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.489,-0.137
Art of Spa,"46A Tachbrook Street, London, United Kingdom",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.489,-0.137
Artisan Fine Art - South Woodford Gallery,"155 High Rd, London, South Woodford, United Kingdom",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,51.652,-0.083
Ashburton Playing Fields,"Croydon, United Kingdom",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,51.3844,-0.0546
Aspers Casino,"The Loft, 312 Montfichet Road, Olympic Park, London, United Kingdom",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,51.544,-0.005
Athelstan Recreation Ground,"Kingston upon Thames, United Kingdom",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,51.42,-0.29
Auld Shillelagh,105 Church St.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.37375045,-0.1050214086661662
Avenue House Grounds,"London, United Kingdom",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,51.603,-0.192
Avondale Park,"Walmer Road, London, United Kingdom",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,51.54,-0.2
